structure,exfoliation_en
"Full Formula (Al1 Te1 I7)
Reduced Formula: AlTeI7
abc   :   7.215175   6.925214  28.861058
angles:  90.000000 105.749336  87.018804
pbc   :       True       True       True
Sites (9)
  #  SP           a         b         c  velocities
---  ----  --------  --------  --------  ---------------
  0  Al    0.697141  0.005738  0.198149  [0.0, 0.0, 0.0]
  1  Te    0.006139  0.581254  0.291327  [0.0, 0.0, 0.0]
  2  I     0.447917  0.912425  0.124033  [0.0, 0.0, 0.0]
  3  I     0.701749  0.378388  0.19825   [0.0, 0.0, 0.0]
  4  I     0.038136  0.856293  0.201785  [0.0, 0.0, 0.0]
  5  I     0.620428  0.886251  0.276117  [0.0, 0.0, 0.0]
  6  I     0.308949  0.336062  0.280816  [0.0, 0.0, 0.0]
  7  I     0.889585  0.36294   0.358852  [0.0, 0.0, 0.0]
  8  I     0.227855  0.828448  0.358153  [0.0, 0.0, 0.0]",95.51380555555555
"Full Formula (Co1 Cl2 O8)
Reduced Formula: Co(ClO4)2
abc   :   4.771842   4.771842  26.356208
angles:  90.000000  90.000000 120.000000
pbc   :       True       True       True
Sites (11)
  #  SP            a          b         c  velocities
---  ----  ---------  ---------  --------  ---------------
  0  Co     0.666667   0.333333  0.5       [0.0, 0.0, 0.0]
  1  Cl     0.333333   0.666667  0.566875  [0.0, 0.0, 0.0]
  2  Cl    -0         -0         0.433125  [0.0, 0.0, 0.0]
  3  O      0.616628   0.962531  0.546969  [0.0, 0.0, 0.0]
  4  O      0.345901   0.383372  0.546969  [0.0, 0.0, 0.0]
  5  O      0.037469   0.654099  0.546969  [0.0, 0.0, 0.0]
  6  O      0.295864   0.012568  0.453032  [0.0, 0.0, 0.0]
  7  O      0.716705   0.704136  0.453032  [0.0, 0.0, 0.0]
  8  O      0.987432   0.283295  0.453032  [0.0, 0.0, 0.0]
  9  O      0.333333   0.666667  0.620472  [0.0, 0.0, 0.0]
 10  O     -0          0         0.379528  [0.0, 0.0, 0.0]",26.426545454545813
"Full Formula (V1 Br2)
Reduced Formula: VBr2
abc   :   3.803995   3.803995  26.721105
angles:  90.000000  90.000000 119.999999
pbc   :       True       True       True
Sites (3)
  #  SP           a         b         c  velocities
---  ----  --------  --------  --------  ---------------
  0  V     0.378472  0.009111  0.125764  [0.0, 0.0, 0.0]
  1  Br    0.711805  0.675779  0.180464  [0.0, 0.0, 0.0]
  2  Br    0.045139  0.342445  0.071063  [0.0, 0.0, 0.0]",76.94366666666718
"Full Formula (Nb1 S2)
Reduced Formula: NbS2
abc   :   3.393410   3.393410  26.171842
angles:  90.000000  90.000000 120.000007
pbc   :       True       True       True
Sites (3)
  #  SP           a         b         c  velocities
---  ----  --------  --------  --------  ---------------
  0  Nb    0.441379  0.055163  0.11791   [0.0, 0.0, 0.0]
  1  S     0.774712  0.72183   0.177051  [0.0, 0.0, 0.0]
  2  S     0.108046  0.388495  0.058769  [0.0, 0.0, 0.0]",96.62900000000008
"Full Formula (Er1 Ag1 P2 Se6)
Reduced Formula: ErAg(PSe3)2
abc   :   6.598061   6.598061  27.231708
angles:  90.000000  90.000000 120.000005
pbc   :       True       True       True
Sites (10)
  #  SP           a         b         c  velocities
---  ----  --------  --------  --------  ---------------
  0  Er    0         0         0.139834  [0.0, 0.0, 0.0]
  1  Ag    0.333333  0.666667  0.139834  [0.0, 0.0, 0.0]
  2  P     0.666667  0.333333  0.097823  [0.0, 0.0, 0.0]
  3  P     0.666667  0.333333  0.181845  [0.0, 0.0, 0.0]
  4  Se    0.677283  0.658626  0.073356  [0.0, 0.0, 0.0]
  5  Se    0.341374  0.018657  0.073356  [0.0, 0.0, 0.0]
  6  Se    0.981343  0.322717  0.073356  [0.0, 0.0, 0.0]
  7  Se    0.341374  0.322717  0.206312  [0.0, 0.0, 0.0]
  8  Se    0.677283  0.018657  0.206312  [0.0, 0.0, 0.0]
  9  Se    0.981343  0.658626  0.206312  [0.0, 0.0, 0.0]",77.70775000000008
"Full Formula (Nb3 Ir1 Se8)
Reduced Formula: Nb3IrSe8
abc   :   6.939257   6.939369  23.684104
angles:  90.514742  90.178652 119.663245
pbc   :       True       True       True
Sites (12)
  #  SP           a         b         c  velocities
---  ----  --------  --------  --------  ---------------
  0  Nb    0.478748  0.47839   0.499614  [0.0, 0.0, 0.0]
  1  Nb    0.465791  0.999693  0.500616  [0.0, 0.0, 0.0]
  2  Nb    0.999907  0.46537   0.498552  [0.0, 0.0, 0.0]
  3  Ir    0.048398  0.048052  0.499606  [0.0, 0.0, 0.0]
  4  Se    0.346024  0.1817    0.577311  [0.0, 0.0, 0.0]
  5  Se    0.322991  0.660422  0.570764  [0.0, 0.0, 0.0]
  6  Se    0.853413  0.696492  0.55884   [0.0, 0.0, 0.0]
  7  Se    0.175719  0.339306  0.421902  [0.0, 0.0, 0.0]
  8  Se    0.654919  0.316865  0.428412  [0.0, 0.0, 0.0]
  9  Se    0.691981  0.848204  0.440373  [0.0, 0.0, 0.0]
 10  Se    0.832089  0.153177  0.568776  [0.0, 0.0, 0.0]
 11  Se    0.147823  0.826113  0.430402  [0.0, 0.0, 0.0]",88.04341666666637
"Full Formula (Zn1 W1 O4)
Reduced Formula: ZnWO4
abc   :   4.569660   4.570259  21.647906
angles:  90.000000  83.063896  90.003919
pbc   :       True       True       True
Sites (6)
  #  SP           a         b         c  velocities
---  ----  --------  --------  --------  ---------------
  0  Zn    0.96317   0.49997   0.036755  [0.0, 0.0, 0.0]
  1  W     0.463235  0.999994  0.036771  [0.0, 0.0, 0.0]
  2  O     0.723372  0.766354  0.990812  [0.0, 0.0, 0.0]
  3  O     0.670639  0.233802  0.082731  [0.0, 0.0, 0.0]
  4  O     0.203238  0.766167  0.08272   [0.0, 0.0, 0.0]
  5  O     0.255739  0.233714  0.990818  [0.0, 0.0, 0.0]",140.2239999999999
"Full Formula (W1 O2)
Reduced Formula: WO2
abc   :   2.979627   2.979627  31.039334
angles:  90.000000  90.000000 119.999991
pbc   :       True       True       True
Sites (3)
  #  SP           a         b         c  velocities
---  ----  --------  --------  --------  ---------------
  0  W     0.666667  0.333333  0.266742  [0.0, 0.0, 0.0]
  1  O     0.666667  0.333333  0.208801  [0.0, 0.0, 0.0]
  2  O     0.666667  0.333333  0.324684  [0.0, 0.0, 0.0]",102.65783333333277
"Full Formula (Hf2 Br2 N2)
Reduced Formula: HfBrN
abc   :   3.568148   4.111010  25.912796
angles:  90.000000  90.000000  90.000000
pbc   :       True       True       True
Sites (6)
  #  SP      a    b         c  velocities
---  ----  ---  ---  --------  ---------------
  0  Br    0    0    0.227723  [0.0, 0.0, 0.0]
  1  Br    0.5  0.5  0.000458  [0.0, 0.0, 0.0]
  2  Hf    0    0.5  0.080618  [0.0, 0.0, 0.0]
  3  Hf    0.5  0    0.147563  [0.0, 0.0, 0.0]
  4  N     0.5  0.5  0.125871  [0.0, 0.0, 0.0]
  5  N     0    0    0.10231   [0.0, 0.0, 0.0]",42.299666666665736
"Full Formula (P8 Se10)
Reduced Formula: P4Se5
abc   :   6.567275  13.046883  31.813496
angles:  90.000000  90.000000  90.000000
pbc   :       True       True       True
Sites (18)
  #  SP            a         b         c  velocities
---  ----  ---------  --------  --------  ---------------
  0  P      0.593297  0.933031  0.170509  [0.0, 0.0, 0.0]
  1  P     -0.093297  0.433031  0.170509  [0.0, 0.0, 0.0]
  2  P      0.907881  0.880354  0.193395  [0.0, 0.0, 0.0]
  3  P      0.592119  0.380354  0.193395  [0.0, 0.0, 0.0]
  4  P      0.487804  0.913044  0.238108  [0.0, 0.0, 0.0]
  5  P      0.012196  0.413044  0.238108  [0.0, 0.0, 0.0]
  6  P      0.534342  0.672367  0.187226  [0.0, 0.0, 0.0]
  7  P     -0.034342  0.172367  0.187226  [0.0, 0.0, 0.0]
  8  Se     0.45889   0.797853  0.137308  [0.0, 0.0, 0.0]
  9  Se     0.04111   0.297853  0.137308  [0.0, 0.0, 0.0]
 10  Se     0.874945  0.703638  0.195575  [0.0, 0.0, 0.0]
 11  Se     0.625055  0.203638  0.195575  [0.0, 0.0, 0.0]
 12  Se     0.37906   0.745955  0.244739  [0.0, 0.0, 0.0]
 13  Se     0.12094   0.245955  0.244739  [0.0, 0.0, 0.0]
 14  Se     0.817997  0.941961  0.259381  [0.0, 0.0, 0.0]
 15  Se     0.682003  0.441961  0.259381  [0.0, 0.0, 0.0]
 16  Se     0.274551  0.010428  0.268983  [0.0, 0.0, 0.0]
 17  Se     0.225449  0.510428  0.268983  [0.0, 0.0, 0.0]",114.36422222222208
